table_name,district,hashtags
bus_tram_stops,Charlottenburg-Wilmersdorf,
bus_tram_stops,Friedrichshain-Kreuzberg,#well-served
bus_tram_stops,Lichtenberg,#good-coverage
bus_tram_stops,Marzahn-Hellersdorf,#well-served
bus_tram_stops,Mitte,#good-coverage
bus_tram_stops,Neukölln,
bus_tram_stops,Pankow,#good-coverage
bus_tram_stops,Reinickendorf,"#well-served,#good-coverage"
bus_tram_stops,Spandau,#well-served
bus_tram_stops,Steglitz-Zehlendorf,#well-served
bus_tram_stops,Tempelhof-Schöneberg,#good-coverage
bus_tram_stops,Treptow-Köpenick,"#well-served,#good-coverage"
