table_name,district,hashtags
crime_statistics,Lichtenberg,
crime_statistics,Friedrichshain-Kreuzberg,#well-served
crime_statistics,Neukölln,
crime_statistics,Tempelhof-Schöneberg,
crime_statistics,Marzahn-Hellersdorf,#well-served
crime_statistics,Charlottenburg-Wilmersdorf,
crime_statistics,Mitte,
crime_statistics,Pankow,
crime_statistics,Reinickendorf,#well-served
crime_statistics,Steglitz-Zehlendorf,#well-served
crime_statistics,Treptow-Köpenick,#well-served
crime_statistics,Spandau,#well-served
