table_name,district,hashtags
districts_pop_stat,Neukölln,
districts_pop_stat,Lichtenberg,
districts_pop_stat,Spandau,"#well-served,#low-variability"
districts_pop_stat,Reinickendorf,"#well-served,#low-variability"
districts_pop_stat,Treptow-Köpenick,
districts_pop_stat,Pankow,#underserved
districts_pop_stat,Steglitz-Zehlendorf,
districts_pop_stat,Tempelhof-Schöneberg,#underserved
districts_pop_stat,Marzahn-Hellersdorf,#well-served
districts_pop_stat,Friedrichshain-Kreuzberg,
districts_pop_stat,Charlottenburg-Wilmersdorf,
districts_pop_stat,Mitte,#underserved
