table_name,district,hashtags
districts_pop_stat,Neukölln,
districts_pop_stat,Lichtenberg,
districts_pop_stat,Spandau,#well-served
districts_pop_stat,Reinickendorf,#well-served
districts_pop_stat,Treptow-Köpenick,#well-served
districts_pop_stat,Pankow,
districts_pop_stat,Steglitz-Zehlendorf,#well-served
districts_pop_stat,Tempelhof-Schöneberg,
districts_pop_stat,Marzahn-Hellersdorf,#well-served
districts_pop_stat,Friedrichshain-Kreuzberg,#well-served
districts_pop_stat,Charlottenburg-Wilmersdorf,
districts_pop_stat,Mitte,
