table_name,district,hashtags
kindergartens,Lichtenberg,"#high-kindergarten-density,#plentiful-kindergartens"
kindergartens,Friedrichshain-Kreuzberg,"#high-kindergarten-density,#ample-kindergarten-supply,#kindergarten-rich-district"
kindergartens,Neukölln,"#kindergarten-saturation,#high-kindergarten-density,#kindergarten-abundant"
kindergartens,Tempelhof-Schöneberg,"#273-kindergartens,#high-kindergarten-density,#kindergarten-rich,#kindergarten-abundance,#school-rich,#educational-infrastructure"
kindergartens,Marzahn-Hellersdorf,"#high-kindergarten-density,#kindergarten-rich,#numerous-kindergartens"
kindergartens,Charlottenburg-Wilmersdorf,"#high-kindergarten-density,#kindergarten-rich,#abundant-kindergartens"
kindergartens,Mitte,"#high-kindergarten-density,#numerous-kindergartens,#high-kindergarten-enrollment"
kindergartens,Pankow,"#high-kindergarten-density,#abundant-kindergartens,#many-childcare-options"
kindergartens,Reinickendorf,"#high-kindergarten-count,#low-kindergartens-per-capita"
kindergartens,Steglitz-Zehlendorf,"#high-kindergarten-density,#kindergarten-rich,#ample-kindergartens"
kindergartens,Treptow-Köpenick,"#high-kindergarten-density,#kindergarten-rich,#kindergarten-heavy"
kindergartens,Spandau,"#114-kindergartens,#0-kindergartens-per-capita"
