table_name,district,hashtags
long_term_listings,Lichtenberg,
long_term_listings,Friedrichshain-Kreuzberg,#well-served
long_term_listings,Neukölln,
long_term_listings,Tempelhof-Schöneberg,
long_term_listings,Marzahn-Hellersdorf,#well-served
long_term_listings,Charlottenburg-Wilmersdorf,
long_term_listings,Mitte,
long_term_listings,Pankow,
long_term_listings,Reinickendorf,#well-served
long_term_listings,Steglitz-Zehlendorf,#well-served
long_term_listings,Treptow-Köpenick,#well-served
long_term_listings,Spandau,#well-served
