table_name,district,hashtags
milieuschutz_protection_zones,Friedrichshain-Kreuzberg,"#well-served,#low-variability,#wide-value-range"
milieuschutz_protection_zones,Pankow,"#underserved,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Charlottenburg-Wilmersdorf,"#well-served,#low-variability,#wide-value-range"
milieuschutz_protection_zones,Treptow-Köpenick,"#well-served,#low-variability,#wide-value-range"
milieuschutz_protection_zones,Neukölln,"#well-served,#low-variability,#wide-value-range"
milieuschutz_protection_zones,Tempelhof-Schöneberg,"#underserved,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Spandau,"#underserved,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Mitte,"#well-served,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Lichtenberg,"#underserved,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Reinickendorf,"#well-served,#high-variability,#has-outliers-1,#wide-value-range"
milieuschutz_protection_zones,Steglitz-Zehlendorf,"#well-served,#low-variability,#wide-value-range"
