table_name,district,hashtags
milieuschutz_protection_zones,Friedrichshain-Kreuzberg,#well-served
milieuschutz_protection_zones,Pankow,
milieuschutz_protection_zones,Charlottenburg-Wilmersdorf,
milieuschutz_protection_zones,Treptow-Köpenick,#well-served
milieuschutz_protection_zones,Neukölln,
milieuschutz_protection_zones,Tempelhof-Schöneberg,
milieuschutz_protection_zones,Spandau,#well-served
milieuschutz_protection_zones,Mitte,
milieuschutz_protection_zones,Lichtenberg,
milieuschutz_protection_zones,Reinickendorf,#well-served
milieuschutz_protection_zones,Steglitz-Zehlendorf,#well-served
