table_name,district,hashtags
rent_stats_per_neighborhood,Friedrichshain-Kreuzberg,#well-served
rent_stats_per_neighborhood,Pankow,
rent_stats_per_neighborhood,Charlottenburg-Wilmersdorf,
rent_stats_per_neighborhood,Treptow-Köpenick,#well-served
rent_stats_per_neighborhood,Neukölln,
rent_stats_per_neighborhood,Tempelhof-Schöneberg,
rent_stats_per_neighborhood,Marzahn-Hellersdorf,#well-served
rent_stats_per_neighborhood,Spandau,#well-served
rent_stats_per_neighborhood,Mitte,
rent_stats_per_neighborhood,Lichtenberg,
rent_stats_per_neighborhood,Reinickendorf,#well-served
rent_stats_per_neighborhood,Steglitz-Zehlendorf,#well-served
